age,occupation,annual_income,num_bank_acc,num_credit_card,interest_rate,delay_from_due_date,outstanding_debt,credit_util_ratio,credit_history_age,payment_of_min_amount,installment_per_month,amount_invested_monthly,payment_behavior,monthly_balance,credit_score
26,Mechanic,45404.4,9,8,22,54,2313.6,37.12,15.4,Yes,195.24,199.12,High_spent_Small_value_payments,247.81,0
26,Mechanic,45404.4,9,8,22,55,2313.6,24.72,15.5,Yes,195.24,137.21,Low_spent_Small_value_payments,339.72,0
26,Mechanic,45404.4,9,8,22,55,2313.6,33.86,15.6,Yes,195.24,48.9,High_spent_Medium_value_payments,388.03,0
26,Mechanic,45404.4,9,8,22,55,2313.6,28.36,15.7,Yes,195.24,65.15,High_spent_Medium_value_payments,371.78,0
37,Entrepreneur,49570.5,6,8,24,19,1697.98,37.52,10.11,Yes,130.63,388.99,Low_spent_Small_value_payments,203.96,0
37,Entrepreneur,49570.5,6,8,24,19,1697.98,28.79,11.0,Yes,130.63,40.01,High_spent_Large_value_payments,502.94,0
38,Entrepreneur,49570.5,6,8,24,19,1697.98,40.48,11.3,Yes,130.63,50.56,High_spent_Medium_value_payments,502.39,0
38,Entrepreneur,49570.5,6,8,24,19,1697.98,27.17,11.4,Yes,130.63,83.04,High_spent_Large_value_payments,459.91,0
38,Entrepreneur,49570.5,6,8,24,19,1697.98,32.42,11.6,Yes,130.63,157.96,Low_spent_Small_value_payments,434.99,0
41,Musician,14096.44,9,7,28,26,1398.28,35.51,17.0,Yes,166.65,80.11,Low_spent_Small_value_payments,241.95,1
41,Musician,14096.44,9,7,28,26,1398.28,25.25,17.1,Yes,166.65,89.31,Low_spent_Large_value_payments,212.75,0
42,Musician,14096.44,9,7,28,26,1398.28,29.84,17.4,Yes,166.65,138.01,Low_spent_Small_value_payments,184.05,0
23,Mechanic,38060.7,6,6,31,31,3813.35,34.87,3.11,Yes,172.41,211.98,Low_spent_Small_value_payments,225.38,0
23,Mechanic,38060.7,6,6,31,31,3813.35,35.94,4.0,Yes,172.41,386.69,Low_spent_Small_value_payments,50.67,0
23,Mechanic,38060.7,6,6,31,31,3813.35,28.62,4.1,Yes,172.41,78.07,High_spent_Large_value_payments,309.29,1
23,Mechanic,38060.7,6,6,31,31,3813.35,35.64,4.2,Yes,172.41,189.06,High_spent_Small_value_payments,218.3,1
23,Mechanic,38060.7,6,6,31,34,3813.35,32.66,4.4,Yes,172.41,88.37,High_spent_Small_value_payments,318.99,1
55,Scientist,68588.28,8,7,17,11,347.58,39.79,30.2,No,35.65,174.41,Low_spent_Medium_value_payments,661.31,0
55,Scientist,68588.28,8,7,17,11,347.58,40.53,30.4,No,35.65,170.8,Low_spent_Medium_value_payments,664.92,0
18,Musician,8814.92,10,7,23,21,2079.47,38.4,13.5,Yes,46.3,15.22,High_spent_Medium_value_payments,289.63,0
18,Musician,8814.92,10,7,23,21,2079.47,28.2,13.6,Yes,46.3,76.49,Low_spent_Large_value_payments,248.37,0
18,Musician,8814.92,10,7,23,22,2079.47,29.85,13.7,Yes,46.3,26.04,High_spent_Medium_value_payments,278.82,0
18,Musician,8814.92,10,7,23,21,2079.47,37.54,13.8,Yes,46.3,56.8,Low_spent_Medium_value_payments,278.05,0
36,Mechanic,89780.85,4,5,12,5,540.26,36.77,23.11,No,186.47,261.5,High_spent_Medium_value_payments,566.81,1
36,Mechanic,89780.85,4,5,12,5,540.26,24.2,24.3,No,186.47,323.77,Low_spent_Medium_value_payments,534.54,2
34,Musician,30472.5,3,7,27,21,1872.17,37.58,13.1,Yes,128.79,91.15,High_spent_Small_value_payments,267.11,0
34,Musician,30472.5,3,7,27,21,1872.17,28.23,14.0,Yes,128.79,228.6,Low_spent_Small_value_payments,159.65,0
34,Musician,30472.5,3,7,27,26,1872.17,39.64,14.2,Yes,128.79,154.52,Low_spent_Medium_value_payments,223.73,0
35,Musician,30472.5,3,7,27,21,1872.17,39.56,14.3,Yes,128.79,34.83,High_spent_Medium_value_payments,313.42,1
35,Musician,30472.5,3,7,27,21,1872.17,25.65,14.4,Yes,128.79,47.45,High_spent_Large_value_payments,290.8,0
35,Accountant,28415.93,2,2,12,5,1112.8,40.81,23.11,No,35.47,273.5,Low_spent_Small_value_payments,205.23,2
35,Accountant,28415.93,2,2,12,11,1112.8,27.43,24.0,No,35.47,247.26,Low_spent_Small_value_payments,231.47,2
35,Accountant,28415.93,2,2,12,6,1112.8,31.25,24.2,No,35.47,267.79,Low_spent_Small_value_payments,210.94,2
35,Accountant,28415.93,2,2,12,6,1112.8,32.25,24.3,No,35.47,189.31,Low_spent_Medium_value_payments,279.42,2
27,Lawyer,23454.09,5,5,11,21,846.41,28.88,11.1,Yes,73.35,63.35,High_spent_Medium_value_payments,334.46,1
27,Lawyer,23454.09,5,5,11,26,846.41,38.27,12.0,Yes,73.35,50.78,High_spent_Medium_value_payments,347.02,1
27,Lawyer,23454.09,5,5,11,22,846.41,34.48,12.1,Yes,73.35,145.69,Low_spent_Large_value_payments,272.11,1
27,Lawyer,23454.09,5,5,11,17,846.41,40.06,12.2,Yes,73.35,69.41,High_spent_Small_value_payments,338.4,1
27,Lawyer,23454.09,5,5,11,21,846.41,25.99,12.3,Yes,73.35,63.48,Low_spent_Medium_value_payments,364.32,1
27,Lawyer,23454.09,5,5,11,18,846.41,38.29,12.4,Yes,73.35,250.01,Low_spent_Small_value_payments,187.79,1
18,Architect,31916.17,4,3,20,13,90.18,39.4,16.5,Yes,97.66,56.09,High_spent_Medium_value_payments,388.22,1
18,Architect,31916.17,4,3,20,13,90.18,36.99,16.7,Yes,97.66,100.11,Low_spent_Large_value_payments,364.2,1
18,Architect,31916.17,4,3,20,13,90.18,27.59,16.8,Yes,97.66,236.37,Low_spent_Small_value_payments,247.94,1
19,Architect,31916.17,4,3,20,13,90.18,27.82,16.1,Yes,97.66,179.11,Low_spent_Large_value_payments,285.19,1
24,Teacher,58704.26,6,3,8,18,244.69,27.14,25.0,Yes,38.32,103.05,High_spent_Large_value_payments,592.63,1
24,Teacher,58704.26,6,3,8,18,244.69,27.48,25.2,Yes,38.32,364.67,Low_spent_Medium_value_payments,371.01,1
39,Writer,18122.37,3,4,7,10,2686.5,34.69,15.7,Yes,76.14,151.93,Low_spent_Medium_value_payments,231.35,0
39,Writer,18122.37,3,4,7,6,2686.5,27.86,15.8,Yes,76.14,49.82,High_spent_Medium_value_payments,303.46,0
39,Writer,18122.37,3,4,7,10,2686.5,24.13,15.11,Yes,76.14,47.7,High_spent_Medium_value_payments,305.58,0
39,Writer,18122.37,3,4,7,7,2686.5,28.12,16.0,Yes,76.14,144.13,Low_spent_Large_value_payments,229.15,0
41,Manager,22089.68,7,3,6,28,346.64,34.39,24.3,No,35.73,45.02,High_spent_Medium_value_payments,345.93,1
41,Manager,22089.68,7,3,6,28,346.64,25.99,24.4,No,35.73,42.63,High_spent_Large_value_payments,338.32,1
42,Manager,22089.68,7,3,6,28,346.64,22.18,24.7,No,35.73,56.5,Low_spent_Large_value_payments,354.45,0
42,Manager,22089.68,7,3,6,28,346.64,23.89,24.8,No,35.73,220.66,Low_spent_Small_value_payments,210.29,0
42,Manager,22089.68,7,3,6,31,346.64,30.83,24.9,No,35.73,72.47,High_spent_Small_value_payments,328.48,1
34,Writer,36063.45,7,6,13,20,1497.12,26.13,15.4,Yes,135.1,116.91,Low_spent_Medium_value_payments,312.42,1
34,Writer,36063.45,7,6,13,20,1497.12,23.53,15.8,Yes,135.1,120.29,High_spent_Medium_value_payments,279.03,1
35,Writer,36063.45,7,6,13,20,1497.12,33.81,15.1,Yes,135.1,109.5,High_spent_Medium_value_payments,289.82,1
42,Lawyer,75050.37,7,7,11,8,509.49,37.45,17.0,Yes,179.9,108.73,High_spent_Medium_value_payments,581.89,1
43,Lawyer,75050.37,7,7,11,8,509.49,26.55,17.3,Yes,179.9,155.4,High_spent_Large_value_payments,525.22,1
43,Lawyer,75050.37,7,7,11,8,509.49,25.06,17.5,Yes,179.9,95.94,High_spent_Medium_value_payments,594.69,1
43,Architect,19570.56,10,10,26,26,2711.86,33.84,13.7,Yes,87.71,119.14,Low_spent_Small_value_payments,220.54,0
43,Architect,19570.56,10,10,26,26,2711.86,35.31,13.8,Yes,87.71,143.38,Low_spent_Small_value_payments,196.3,0
43,Architect,19570.56,10,10,26,24,2711.86,33.6,13.9,Yes,87.71,94.61,High_spent_Small_value_payments,215.07,1
34,Manager,28238.45,5,5,17,30,4.61,27.67,21.4,Yes,56.16,38.11,High_spent_Small_value_payments,382.45,1
34,Manager,28238.45,5,5,17,30,4.61,36.05,21.8,Yes,56.16,72.06,High_spent_Medium_value_payments,338.5,1
34,Manager,28238.45,5,5,17,27,4.61,36.85,21.9,Yes,56.16,177.21,Low_spent_Medium_value_payments,263.35,1
35,Manager,28238.45,5,5,17,30,4.61,27.04,21.1,Yes,56.16,154.18,Low_spent_Medium_value_payments,286.38,1
30,Engineer,83576.26,3,4,8,12,1192.96,37.22,22.9,No,112.39,151.52,High_spent_Large_value_payments,667.36,2
30,Engineer,83576.26,3,4,8,8,1192.96,28.99,22.1,No,112.39,361.86,Low_spent_Medium_value_payments,497.03,2
52,Lawyer,107797.8,7,3,20,7,115.82,30.06,33.0,No,250.95,372.01,High_spent_Medium_value_payments,537.96,1
30,Mechanic,16014.16,7,6,29,26,1280.01,37.47,9.1,Yes,76.22,85.39,Low_spent_Small_value_payments,268.64,0
31,Mechanic,16014.16,7,6,29,23,1280.01,23.25,9.6,Yes,76.22,78.56,Low_spent_Medium_value_payments,265.47,0
31,Mechanic,16014.16,7,6,29,27,1280.01,32.33,9.7,Yes,76.22,138.3,Low_spent_Medium_value_payments,205.72,0
31,Mechanic,16014.16,7,6,29,26,1280.01,27.2,9.8,Yes,76.22,60.56,Low_spent_Small_value_payments,293.47,0
36,Scientist,18214.24,5,7,20,22,1079.55,29.14,30.1,No,23.67,49.19,High_spent_Medium_value_payments,336.62,1
36,Scientist,18214.24,5,7,20,20,1079.55,35.75,31.0,No,23.67,77.72,Low_spent_Small_value_payments,348.09,1
36,Scientist,18214.24,5,7,20,22,1079.55,25.09,31.2,No,23.67,142.45,Low_spent_Small_value_payments,283.36,1
36,Scientist,18214.24,5,7,20,23,1079.55,31.92,31.3,No,23.67,111.15,Low_spent_Large_value_payments,294.66,1
25,Engineer,33278.28,7,3,11,10,426.61,29.82,6.4,Yes,75.95,105.43,High_spent_Small_value_payments,340.84,1
25,Engineer,33278.28,7,3,11,10,426.61,31.99,6.5,Yes,75.95,99.47,High_spent_Medium_value_payments,336.79,1
25,Engineer,33278.28,7,3,11,10,426.61,23.98,6.8,Yes,75.95,200.44,Low_spent_Small_value_payments,275.83,0
26,Engineer,33278.28,7,3,11,10,426.61,28.16,6.1,Yes,75.95,282.12,Low_spent_Small_value_payments,194.15,0
21,Architect,28230.08,8,5,19,14,1437.62,35.05,32.1,Yes,36.86,60.44,High_spent_Medium_value_payments,402.85,1
21,Architect,28230.08,8,5,19,14,1437.62,27.29,32.11,Yes,36.86,35.66,High_spent_Medium_value_payments,427.62,1
21,Architect,28230.08,8,5,19,9,1437.62,27.53,33.0,Yes,36.86,44.36,High_spent_Medium_value_payments,418.93,1
21,Architect,28230.08,8,5,19,14,1437.62,38.25,33.1,Yes,36.86,158.18,Low_spent_Large_value_payments,325.1,1
22,Architect,28230.08,8,5,19,14,1437.62,32.77,33.2,Yes,36.86,98.75,High_spent_Medium_value_payments,364.53,1
22,Architect,28230.08,8,5,19,14,1437.62,27.48,33.3,Yes,36.86,291.99,Low_spent_Small_value_payments,211.3,0
22,Manager,43311.84,3,4,9,14,951.78,27.16,22.11,No,73.55,145.48,High_spent_Medium_value_payments,418.9,0
22,Manager,43311.84,3,4,9,14,951.78,25.74,23.3,No,73.55,84.44,High_spent_Medium_value_payments,479.95,1
22,Manager,43311.84,3,4,9,14,951.78,33.97,23.4,No,73.55,97.7,High_spent_Medium_value_payments,466.69,1
53,Engineer,16862.715,8,6,10,22,574.86,32.48,25.1,Yes,14.74,75.02,Low_spent_Small_value_payments,360.56,1
53,Engineer,16862.715,8,6,10,22,574.86,26.01,25.11,Yes,14.74,213.81,Low_spent_Small_value_payments,221.77,1
53,Engineer,16862.715,8,6,10,25,574.86,26.04,26.0,Yes,14.74,67.06,Low_spent_Medium_value_payments,358.52,1
53,Engineer,16862.715,8,6,10,22,574.86,40.17,26.1,Yes,14.74,145.44,Low_spent_Small_value_payments,290.15,1
53,Engineer,16862.715,8,6,10,22,574.86,32.85,26.3,Yes,14.74,45.69,High_spent_Medium_value_payments,349.89,2
30,Scientist,7087.24,8,5,14,30,54.25,21.78,6.2,Yes,22.3,26.72,Low_spent_Medium_value_payments,267.14,1
30,Scientist,7087.24,8,5,14,30,54.25,33.67,6.4,Yes,22.3,41.23,Low_spent_Small_value_payments,262.63,1
30,Scientist,7087.24,8,5,14,30,54.25,25.37,6.7,Yes,22.3,10.36,Low_spent_Medium_value_payments,283.49,1
31,Scientist,7087.24,8,5,14,30,54.25,36.53,6.9,Yes,22.3,40.03,Low_spent_Small_value_payments,263.83,1
42,Accountant,20774.34,6,6,25,8,1822.87,41.57,7.11,Yes,37.09,78.41,High_spent_Small_value_payments,314.72,0
42,Accountant,20774.34,6,6,25,10,1822.87,23.12,8.1,Yes,37.09,71.89,High_spent_Small_value_payments,321.24,0
42,Accountant,20774.34,6,6,25,8,1822.87,27.64,8.2,Yes,37.09,104.71,Low_spent_Large_value_payments,298.42,0
42,Accountant,20774.34,6,6,25,8,1822.87,36.52,8.4,Yes,37.09,37.6,High_spent_Medium_value_payments,345.53,0
42,Accountant,20774.34,6,6,25,3,1822.87,32.12,8.6,Yes,37.09,96.58,Low_spent_Large_value_payments,306.55,0
33,Developer,19506.73,9,7,22,47,1594.83,31.11,14.3,Yes,59.13,145.4,Low_spent_Medium_value_payments,224.63,1
33,Developer,19506.73,9,7,22,47,1594.83,27.39,14.9,Yes,59.13,77.09,Low_spent_Medium_value_payments,292.93,0
34,Developer,19506.73,9,7,22,47,1594.83,24.27,14.1,Yes,59.13,149.69,Low_spent_Small_value_payments,230.33,0
15,Media_Manager,32196.04,10,8,17,29,1661.03,32.65,18.1,Yes,164.26,104.24,High_spent_Medium_value_payments,265.8,0
15,Media_Manager,32196.04,10,8,17,29,1661.03,28.88,18.2,Yes,164.26,301.7,Low_spent_Small_value_payments,108.35,0
15,Media_Manager,32196.04,10,8,17,29,1661.03,38.66,18.4,Yes,164.26,138.9,Low_spent_Small_value_payments,271.15,1
16,Media_Manager,32196.04,10,8,17,29,1661.03,25.25,18.8,Yes,164.26,249.83,Low_spent_Large_value_payments,140.21,1
40,Lawyer,7901.055,8,7,14,19,2154.6,38.13,12.9,Yes,24.57,28.16,Low_spent_Small_value_payments,317.01,1
40,Lawyer,7901.055,8,7,14,19,2154.6,31.09,12.1,Yes,24.57,20.7,High_spent_Medium_value_payments,284.47,1
40,Lawyer,7901.055,8,7,14,19,2154.6,29.41,12.11,Yes,24.57,45.02,Low_spent_Large_value_payments,280.15,1
40,Lawyer,7901.055,8,7,14,19,2154.6,27.27,13.0,Yes,24.57,58.3,Low_spent_Medium_value_payments,276.86,1
41,Lawyer,7901.055,8,7,14,19,2154.6,35.56,13.2,Yes,24.57,76.39,Low_spent_Small_value_payments,268.78,1
41,Lawyer,7901.055,8,7,14,24,2154.6,28.42,13.3,Yes,24.57,51.63,Low_spent_Small_value_payments,293.54,1
39,Teacher,14930.95,3,4,3,12,1326.75,22.24,16.1,No,25.22,78.62,Low_spent_Small_value_payments,283.09,2
39,Teacher,14930.95,3,4,3,8,1326.75,34.61,17.0,No,25.22,34.37,Low_spent_Large_value_payments,307.33,2
39,Teacher,14930.95,3,4,3,12,1326.75,23.93,17.1,No,25.22,85.0,Low_spent_Medium_value_payments,266.71,2
31,Lawyer,22853.37,6,3,12,34,423.83,40.34,19.7,Yes,12.32,72.38,High_spent_Medium_value_payments,336.15,1
31,Lawyer,22853.37,6,3,12,29,423.83,30.07,19.11,Yes,12.32,78.14,Low_spent_Large_value_payments,350.39,1
31,Lawyer,22853.37,6,3,12,29,423.83,25.75,20.0,Yes,12.32,201.16,Low_spent_Small_value_payments,247.36,1
37,Lawyer,12714.98,4,6,5,13,1154.56,31.96,21.1,No,22.2,120.68,Low_spent_Small_value_payments,245.08,1
37,Lawyer,12714.98,4,6,5,15,1154.56,22.47,22.0,No,22.2,63.87,High_spent_Small_value_payments,271.89,1
37,Lawyer,12714.98,4,6,5,15,1154.56,22.83,22.1,No,22.2,62.72,Low_spent_Medium_value_payments,293.04,1
37,Lawyer,12714.98,4,6,5,15,1154.56,32.55,22.2,No,22.2,25.63,Low_spent_Large_value_payments,320.13,1
38,Entrepreneur,15512.055,3,4,13,10,865.3,25.01,11.6,Yes,48.13,158.55,Low_spent_Small_value_payments,226.48,1
28,Developer,23459.45,8,5,9,17,264.07,39.8,24.9,Yes,26.61,181.24,Low_spent_Medium_value_payments,284.34,1
28,Developer,23459.45,8,5,9,8,264.07,36.38,24.1,Yes,26.61,76.77,Low_spent_Large_value_payments,378.81,1
28,Developer,23459.45,8,5,9,13,264.07,25.92,24.11,Yes,26.61,82.13,High_spent_Medium_value_payments,353.46,1
28,Developer,23459.45,8,5,9,10,264.07,31.77,25.2,Yes,26.61,87.84,High_spent_Medium_value_payments,347.75,0
28,Developer,23459.45,8,5,9,13,264.07,24.99,25.3,Yes,26.61,121.25,Low_spent_Small_value_payments,354.33,0
43,Developer,17315.32,8,8,20,36,1728.52,25.88,18.2,Yes,23.8,78.55,Low_spent_Small_value_payments,339.64,0
43,Developer,17315.32,8,8,20,33,1728.52,35.78,18.4,Yes,23.8,88.65,Low_spent_Small_value_payments,329.55,1
37,Engineer,16833.355,7,3,5,25,65.59,31.23,10.7,Yes,19.79,114.05,Low_spent_Small_value_payments,295.74,1
37,Engineer,16833.355,7,3,5,23,65.59,33.14,10.8,Yes,19.79,70.34,Low_spent_Small_value_payments,339.45,1
37,Engineer,16833.355,7,3,5,23,65.59,40.92,10.1,Yes,19.79,138.77,Low_spent_Small_value_payments,271.02,1
37,Engineer,16833.355,7,3,5,23,65.59,34.44,10.11,Yes,19.79,82.38,High_spent_Small_value_payments,297.41,1
15,Developer,41599.96,9,5,16,50,3471.8,35.84,0.11,Yes,238.0,39.95,High_spent_Large_value_payments,286.12,1
15,Developer,41599.96,9,5,16,50,3471.8,26.6,1.0,Yes,238.0,88.16,High_spent_Medium_value_payments,247.91,1
15,Developer,41599.96,9,5,16,50,3471.8,35.37,1.1,Yes,238.0,170.96,High_spent_Small_value_payments,175.11,1
22,Developer,16472.87,7,5,32,18,2140.96,28.77,18.6,Yes,66.72,65.0,Low_spent_Small_value_payments,313.75,0
20,Manager,18314.57,6,7,18,20,1450.59,37.68,13.2,Yes,19.61,101.42,Low_spent_Small_value_payments,311.09,1
20,Manager,18314.57,6,7,18,18,1450.59,32.42,13.5,Yes,19.61,163.69,Low_spent_Small_value_payments,248.82,1
21,Manager,18314.57,6,7,18,19,1450.59,30.98,13.8,Yes,19.61,51.41,Low_spent_Small_value_payments,361.1,0
17,Mechanic,8473.795,4,7,7,20,1040.14,30.22,17.3,Yes,16.8,14.34,High_spent_Medium_value_payments,270.08,1
17,Mechanic,8473.795,4,7,7,20,1040.14,35.39,17.4,Yes,16.8,14.74,High_spent_Medium_value_payments,269.68,1
17,Mechanic,8473.795,4,7,7,20,1040.14,27.76,17.6,Yes,16.8,25.57,High_spent_Small_value_payments,268.84,1
17,Mechanic,8473.795,4,7,7,19,1040.14,25.66,17.7,Yes,16.8,20.7,High_spent_Small_value_payments,273.71,1
25,Journalist,34742.74,6,4,19,21,2503.43,39.72,9.9,Yes,59.1,102.55,High_spent_Medium_value_payments,376.48,0
25,Journalist,34742.74,6,4,19,26,2503.43,27.47,9.1,Yes,59.1,349.17,Low_spent_Small_value_payments,169.85,0
25,Journalist,34742.74,6,4,19,24,2503.43,29.77,10.1,Yes,59.1,287.96,Low_spent_Small_value_payments,231.07,1
25,Journalist,34742.74,6,4,19,21,2503.43,32.12,10.2,Yes,59.1,99.79,High_spent_Medium_value_payments,379.24,0
25,Journalist,34742.74,6,4,19,24,2503.43,34.82,10.4,Yes,59.1,298.59,Low_spent_Medium_value_payments,210.44,0
34,Musician,35971.51,2,5,9,4,1435.21,25.49,30.4,No,42.55,374.36,Low_spent_Small_value_payments,170.45,2
34,Musician,35971.51,2,5,9,4,1435.21,36.03,30.6,No,42.55,398.16,Low_spent_Small_value_payments,146.65,2
34,Musician,35971.51,2,5,9,4,1435.21,35.04,30.9,No,42.55,76.57,High_spent_Large_value_payments,418.24,2
38,Engineer,33022.7,6,6,18,32,2432.08,29.31,6.5,Yes,39.65,116.87,High_spent_Small_value_payments,405.57,0
38,Engineer,33022.7,6,6,18,31,2432.08,39.96,6.6,Yes,39.65,55.85,High_spent_Small_value_payments,466.59,0
38,Engineer,33022.7,6,6,18,31,2432.08,34.37,6.7,Yes,39.65,179.73,Low_spent_Small_value_payments,372.7,0
38,Engineer,33022.7,6,6,18,31,2432.08,25.09,6.9,Yes,39.65,286.2,Low_spent_Small_value_payments,266.24,0
39,Engineer,33022.7,6,6,18,29,2432.08,29.71,6.11,Yes,39.65,164.58,High_spent_Small_value_payments,357.86,1
23,Manager,25622.61,6,7,7,16,326.09,33.34,16.11,Yes,37.25,104.22,High_spent_Small_value_payments,343.65,1
23,Manager,25622.61,6,7,7,16,326.09,36.38,17.0,Yes,37.25,42.98,High_spent_Medium_value_payments,394.89,1
23,Manager,25622.61,6,7,7,16,326.09,29.7,17.1,Yes,37.25,231.36,Low_spent_Small_value_payments,246.51,1
23,Manager,25622.61,6,7,7,16,326.09,37.72,17.5,Yes,37.25,107.59,High_spent_Small_value_payments,340.27,1
18,Architect,13032.705,5,6,3,10,1497.16,28.6,25.4,No,28.86,18.57,High_spent_Large_value_payments,295.77,2
18,Architect,13032.705,5,6,3,10,1497.16,39.95,25.5,No,28.86,38.59,High_spent_Small_value_payments,295.76,2
18,Architect,13032.705,5,6,3,10,1497.16,30.86,25.7,No,28.86,89.81,Low_spent_Small_value_payments,274.53,1
18,Architect,13032.705,5,6,3,10,1497.16,30.83,25.8,No,28.86,19.97,High_spent_Small_value_payments,314.37,1
18,Architect,13032.705,5,6,3,10,1497.16,28.09,25.11,No,28.86,57.95,Low_spent_Small_value_payments,306.39,1
37,Lawyer,67644.92,4,9,22,23,1402.56,27.26,8.4,Yes,102.79,422.67,Low_spent_Medium_value_payments,301.06,0
37,Lawyer,67644.92,4,9,22,19,1402.56,34.13,8.5,Yes,102.79,172.2,Low_spent_Large_value_payments,541.52,0
37,Lawyer,67644.92,4,9,22,23,1402.56,32.46,8.8,Yes,102.79,174.84,High_spent_Medium_value_payments,518.89,0
23,Scientist,16106.15,8,3,10,18,109.59,28.17,19.2,Yes,35.49,46.82,Low_spent_Medium_value_payments,342.1,1
23,Scientist,16106.15,8,3,10,18,109.59,36.09,19.3,Yes,35.49,86.15,Low_spent_Medium_value_payments,302.77,1
23,Scientist,16106.15,8,3,10,18,109.59,30.07,19.4,Yes,35.49,94.25,Low_spent_Small_value_payments,304.68,1
23,Scientist,16106.15,8,3,10,23,109.59,37.99,19.5,Yes,35.49,126.92,Low_spent_Medium_value_payments,262.01,1
23,Scientist,16106.15,8,3,10,21,109.59,27.34,19.6,Yes,35.49,186.86,Low_spent_Small_value_payments,212.07,1
23,Scientist,16106.15,8,3,10,18,109.59,36.52,19.7,Yes,35.49,77.39,Low_spent_Medium_value_payments,311.54,1
37,Media_Manager,20496.79,3,3,6,15,1165.77,25.84,24.7,Yes,28.71,76.92,Low_spent_Large_value_payments,327.87,1
37,Media_Manager,20496.79,3,3,6,15,1165.77,28.92,24.9,Yes,28.71,109.56,Low_spent_Large_value_payments,295.24,1
36,Entrepreneur,19753.22,6,6,25,44,4121.29,29.43,13.4,Yes,111.04,74.85,Low_spent_Medium_value_payments,246.12,1
36,Entrepreneur,19753.22,6,6,25,44,4121.29,34.74,13.6,Yes,111.04,57.89,Low_spent_Small_value_payments,273.08,0
21,Developer,23520.69,7,7,6,27,1235.31,30.51,9.9,Yes,85.37,48.53,High_spent_Medium_value_payments,290.7,1
21,Developer,23520.69,7,7,6,32,1235.31,34.34,9.1,Yes,85.37,81.64,Low_spent_Small_value_payments,297.59,1
21,Developer,23520.69,7,7,6,27,1235.31,26.56,10.0,Yes,85.37,95.62,Low_spent_Medium_value_payments,273.61,1
22,Developer,23520.69,7,7,6,27,1235.31,25.68,10.2,Yes,85.37,96.88,Low_spent_Large_value_payments,262.35,1
22,Developer,23520.69,7,7,6,31,1235.31,40.41,10.4,Yes,85.37,33.71,High_spent_Large_value_payments,295.52,2
42,Architect,16896.19,7,6,23,35,1878.31,33.13,17.3,Yes,69.32,130.72,Low_spent_Large_value_payments,215.07,0
42,Architect,16896.19,7,6,23,32,1878.31,33.68,17.5,Yes,69.32,93.98,Low_spent_Medium_value_payments,261.8,0
42,Architect,16896.19,7,6,23,31,1878.31,26.68,17.6,Yes,69.32,180.83,Low_spent_Small_value_payments,184.95,0
42,Architect,16896.19,7,6,23,28,1878.31,39.65,17.7,Yes,69.32,65.43,High_spent_Small_value_payments,270.36,0
42,Architect,16896.19,7,6,23,32,1878.31,23.39,17.8,Yes,69.32,48.8,Low_spent_Large_value_payments,296.98,0
31,Accountant,44689.77,6,6,20,8,2319.8,36.19,13.5,Yes,202.06,53.79,High_spent_Large_value_payments,358.26,0
31,Accountant,44689.77,6,6,20,8,2319.8,25.31,13.8,Yes,202.06,215.6,Low_spent_Large_value_payments,226.45,0
31,Accountant,44689.77,6,6,20,8,2319.8,23.4,13.1,Yes,202.06,109.12,High_spent_Medium_value_payments,312.93,0
38,Media_Manager,17682.035,7,3,7,6,972.53,25.59,22.3,Yes,38.82,101.52,Low_spent_Medium_value_payments,274.01,1
38,Media_Manager,17682.035,7,3,7,6,972.53,26.59,22.4,Yes,38.82,71.49,Low_spent_Small_value_payments,314.05,1
38,Media_Manager,17682.035,7,3,7,6,972.53,25.64,22.6,Yes,38.82,38.28,Low_spent_Large_value_payments,327.25,1
38,Media_Manager,17682.035,7,3,7,6,972.53,23.52,22.8,Yes,38.82,124.21,Low_spent_Medium_value_payments,251.32,1
25,Architect,19657.56,4,3,15,26,1480.88,25.05,5.7,Yes,21.24,143.69,Low_spent_Small_value_payments,259.98,1
25,Architect,19657.56,4,3,15,26,1480.88,38.47,5.8,Yes,21.24,166.81,Low_spent_Small_value_payments,236.87,1
25,Architect,19657.56,4,3,15,26,1480.88,33.75,5.9,Yes,21.24,88.98,Low_spent_Medium_value_payments,304.69,1
25,Architect,19657.56,4,3,15,26,1480.88,28.97,5.11,Yes,21.24,25.97,High_spent_Large_value_payments,327.7,1
26,Architect,19657.56,4,3,15,26,1480.88,39.28,6.1,Yes,21.24,107.67,Low_spent_Small_value_payments,296.01,1
26,Architect,19657.56,4,3,15,26,1480.88,32.98,6.2,Yes,21.24,32.32,High_spent_Large_value_payments,321.36,1
51,Developer,19997.78,5,5,20,28,427.06,22.59,25.7,Yes,18.98,119.51,Low_spent_Medium_value_payments,282.45,1
36,Lawyer,19667.89,9,9,32,19,1399.97,39.01,17.8,Yes,95.67,98.63,Low_spent_Medium_value_payments,235.3,0
36,Lawyer,19667.89,9,9,32,24,1399.97,38.11,17.9,Yes,95.67,82.27,High_spent_Small_value_payments,231.67,0
36,Lawyer,19667.89,9,9,32,20,1399.97,34.19,17.11,Yes,95.67,63.17,High_spent_Small_value_payments,250.76,0
37,Lawyer,19667.89,9,9,32,15,1399.97,31.32,18.2,Yes,95.67,76.93,Low_spent_Small_value_payments,267.0,0
